Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
COL,COLES GROUP LTD,Consumer Staples,Equity,33717175.77,0.02436,33717175.77,2047645,16.47,Australia,Asx - All Markets,AUD
BMPS,BANCA MONTE DEI PASCHI DI SIENA SP,Financials,Equity,33718051.36,0.02436,33718051.36,3150470,10.7,Italy,Borsa Italiana,EUR
9022,CENTRAL JAPAN RAILWAY,Industrials,Equity,33609370.39,0.02428,33609370.39,1271500,26.43,Japan,Tokyo Stock Exchange,JPY
WRT1V,WARTSILA,Industrials,Equity,33591509.7,0.02427,33591509.7,785481,42.77,Finland,Nasdaq Omx Helsinki Ltd.,EUR
LDOS,LEIDOS HOLDINGS INC,Industrials,Equity,33549268,0.02423,33549268,218990,153.2,United States,New York Stock Exchange Inc.,USD
STE,STERIS,Health Care,Equity,33472269.6,0.02418,33472269.6,152528,219.45,United States,New York Stock Exchange Inc.,USD
FCNCA,FIRST CITIZENS BANCSHARES INC CLAS,Financials,Equity,33462138.8,0.02417,33462138.8,16292,2053.9,United States,NASDAQ,USD
ILMN,ILLUMINA INC,Health Care,Equity,33423407.08,0.02414,33423407.08,253246,131.98,United States,NASDAQ,USD
MTX,MTU AERO ENGINES HOLDING AG,Industrials,Equity,33303168.16,0.02406,33303168.16,90857,366.54,Germany,Xetra,EUR
BPE,BPER BANCA,Financials,Equity,33290915.79,0.02405,33290915.79,2329978,14.29,Italy,Borsa Italiana,EUR
KEY,KEYCORP,Financials,Equity,33257825.9,0.02402,33257825.9,1504879,22.1,United States,New York Stock Exchange Inc.,USD
A5G,AIB GROUP PLC,Financials,Equity,33236632.52,0.02401,33236632.52,2892379,11.49,Ireland,Irish Stock Exchange - All Market,EUR
SOFI,SOFI TECHNOLOGIES INC,Financials,Equity,33220469.73,0.024,33220469.73,1764231,18.83,United States,NASDAQ,USD
SW,SMURFIT WESTROCK PLC,Materials,Equity,33212149.38,0.02399,33212149.38,805729,41.22,United States,New York Stock Exchange Inc.,USD
JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials,Equity,33042690.73,0.02387,33042690.73,131597,251.09,United States,NASDAQ,USD
ABN,ABN AMRO BANK NV,Financials,Equity,32979623.03,0.02382,32979623.03,929238,35.49,Netherlands,Euronext Amsterdam,EUR
FM,FIRST QUANTUM MINERALS LTD,Materials,Equity,32966593.85,0.02381,32966593.85,1221769,26.98,Canada,Toronto Stock Exchange,CAD
VNA,VONOVIA SE,Real Estate,Equity,32945978.04,0.0238,32945978.04,1192444,27.63,Germany,Xetra,EUR
SHB A,SVENSKA HANDELSBANKEN-A SHS,Financials,Equity,32877899.41,0.02375,32877899.41,2273068,14.46,Sweden,Nasdaq Omx Nordic,SEK
4901,FUJIFILM HOLDINGS CORP,Information Technology,Equity,32827592.62,0.02371,32827592.62,1686183,19.47,Japan,Tokyo Stock Exchange,JPY
VOW3,VOLKSWAGEN NON-VOTING PREF AG,Consumer Discretionary,Equity,32792002.68,0.02369,32792002.68,310106,105.74,Germany,Xetra,EUR
9020,EAST JAPAN RAILWAY,Industrials,Equity,32772588.84,0.02367,32772588.84,1473888,22.24,Japan,Tokyo Stock Exchange,JPY
BRO,BROWN & BROWN INC,Financials,Equity,32672371.2,0.0236,32672371.2,473856,68.95,United States,New York Stock Exchange Inc.,USD
ALFA,ALFA LAVAL,Industrials,Equity,32608931.82,0.02356,32608931.82,526640,61.92,Sweden,Nasdaq Omx Nordic,SEK
DD,DUPONT DE NEMOURS INC,Materials,Equity,32619694.95,0.02356,32619694.95,698345,46.71,United States,New York Stock Exchange Inc.,USD
CNC,CENTENE CORP,Health Care,Equity,32504439.24,0.02348,32504439.24,830466,39.14,United States,New York Stock Exchange Inc.,USD
HPQ,HP INC,Information Technology,Equity,32444708.37,0.02344,32444708.37,1538393,21.09,United States,New York Stock Exchange Inc.,USD
KER,KERING SA,Consumer Discretionary,Equity,32408699.12,0.02341,32408699.12,113393,285.81,France,Nyse Euronext - Euronext Paris,EUR
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,Equity,32380147.52,0.02339,32380147.52,117866,274.72,United States,New York Stock Exchange Inc.,USD
LGEN,LEGAL AND GENERAL GROUP PLC,Financials,Equity,32123117.33,0.0232,32123117.33,8782984,3.66,United Kingdom,London Stock Exchange,GBP
SAB,BANCO DE SABADELL SA,Financials,Equity,32085592.38,0.02318,32085592.38,8288476,3.87,Spain,Bolsa De Madrid,EUR
FLUT,FLUTTER ENTERTAINMENT PLC,Consumer Discretionary,Equity,32079886.5,0.02317,32079886.5,292967,109.5,United States,New York Stock Exchange Inc.,USD
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,Equity,32012591.36,0.02312,32012591.36,212032,150.98,United States,New York Stock Exchange Inc.,USD
CAP,CAPGEMINI,Information Technology,Equity,31865088.5,0.02302,31865088.5,247622,128.68,France,Nyse Euronext - Euronext Paris,EUR
BIRG,BANK OF IRELAND GROUP PLC,Financials,Equity,31787861.4,0.02296,31787861.4,1601000,19.85,Ireland,Irish Stock Exchange - All Market,EUR
KHC,KRAFT HEINZ,Consumer Staples,Equity,31702523.3,0.0229,31702523.3,1442335,21.98,United States,NASDAQ,USD
NVR,NVR INC,Consumer Discretionary,Equity,31637560.5,0.02285,31637560.5,4563,6933.5,United States,New York Stock Exchange Inc.,USD
NSIS B,NOVOZYMES B,Materials,Equity,31571038.85,0.02281,31571038.85,526674,59.94,Denmark,Omx Nordic Exchange Copenhagen A/S,DKK
L,LOEWS CORP,Financials,Equity,31548548.28,0.02279,31548548.28,282972,111.49,United States,New York Stock Exchange Inc.,USD
